city,date,transportation_type,flow
Belfast,2020-06-15,walking,66.37
Belfast,2020-06-15,transit,34.76
Belfast,2020-06-16,driving,88.45
Belfast,2020-06-16,walking,61.71
Belfast,2020-06-16,transit,33.29
Belfast,2020-06-17,driving,86.84
Belfast,2020-06-17,walking,65.03
Belfast,2020-06-17,transit,31.28
Belfast,2020-06-18,driving,91.51
Belfast,2020-06-18,walking,64.86
Belfast,2020-06-18,transit,31.35
Belfast,2020-06-19,driving,100.9
Belfast,2020-06-19,walking,72.6
Belfast,2020-06-19,transit,32.29
Belfast,2020-06-20,driving,101.31
Belfast,2020-06-20,walking,76.06
Belfast,2020-06-20,transit,32.89
Belfast,2020-06-21,driving,68.4
Belfast,2020-06-21,walking,44.21
Belfast,2020-06-21,transit,28.28
Belfast,2020-06-22,driving,88.22
Belfast,2020-06-22,walking,66.23
Belfast,2020-06-22,transit,37.77
Belfast,2020-06-23,driving,92.4
Belfast,2020-06-23,walking,68.76
Belfast,2020-06-23,transit,38.57
Belfast,2020-06-24,driving,101.75
Belfast,2020-06-24,walking,75.64
Belfast,2020-06-24,transit,41.38
Belfast,2020-06-25,driving,102.63
Belfast,2020-06-25,walking,73.34
Belfast,2020-06-25,transit,43.32
Belfast,2020-06-26,driving,110.62
Belfast,2020-06-26,walking,83.16
Belfast,2020-06-26,transit,31.02
Belfast,2020-06-27,driving,100.04
Belfast,2020-06-27,walking,76.77
Belfast,2020-06-27,transit,31.08
Belfast,2020-06-28,driving,73.07
Belfast,2020-06-28,walking,46.05
Belfast,2020-06-28,transit,32.62
Belfast,2020-06-29,driving,92.02
Belfast,2020-06-29,walking,64.31
Belfast,2020-06-29,transit,38.57
Belfast,2020-06-30,driving,98.91
Belfast,2020-06-30,walking,79.08
Belfast,2020-06-30,transit,40.98
Belfast,2020-07-01,driving,100.79
Belfast,2020-07-01,walking,73.07
Belfast,2020-07-01,transit,46.72
Belfast,2020-07-02,driving,103.41
Belfast,2020-07-02,walking,73.7
Belfast,2020-07-02,transit,37.57
Belfast,2020-07-03,driving,110.78
Belfast,2020-07-03,walking,86.1
Belfast,2020-07-03,transit,33.22
